Tamanho,Threshold,MediaCPU,DesvioCPU,MediaReal,DesvioReal
3,-1,0.000000,0.000000,0.000000,0.000000
3,1000,0.000000,0.000000,0.000000,0.000000
3,100,0.000000,0.000000,0.000000,0.000000
3,90,0.000000,0.000000,0.000000,0.000000
3,80,0.000000,0.000000,0.000000,0.000000
3,70,0.000000,0.000000,0.000000,0.000000
3,60,0.000000,0.000000,0.000000,0.000000
3,50,0.000000,0.000000,0.000000,0.000000
3,40,0.000000,0.000000,0.000000,0.000000
3,30,0.000000,0.000000,0.000000,0.000000
3,28,0.000000,0.000000,0.000000,0.000000
3,26,0.000000,0.000000,0.000000,0.000000
3,24,0.000000,0.000000,0.000000,0.000000
3,22,0.000000,0.000000,0.000000,0.000000
3,20,0.000000,0.000000,0.000000,0.000000
3,18,0.000000,0.000000,0.000000,0.000000
3,16,0.000000,0.000000,0.000000,0.000000
3,14,0.000000,0.000000,0.000000,0.000000
3,12,0.000000,0.000000,0.000000,0.000000
3,10,0.000000,0.000000,0.000000,0.000000
3,8,0.000000,0.000000,0.000000,0.000000
3,6,0.000000,0.000000,0.000000,0.000000
3,4,0.000000,0.000000,0.000000,0.000000
3,2,0.000000,0.000000,0.000000,0.000000
5,-1,0.000000,0.000000,0.000000,0.000000
5,1000,0.000000,0.000000,0.000000,0.000000
5,100,0.000000,0.000000,0.000000,0.000000
5,90,0.000000,0.000000,0.000000,0.000000
5,80,0.000000,0.000000,0.000000,0.000000
5,70,0.000000,0.000000,0.000000,0.000000
5,60,0.000000,0.000000,0.000000,0.000000
5,50,0.000000,0.000000,0.000000,0.000000
5,40,0.000000,0.000000,0.000000,0.000000
5,30,0.000000,0.000000,0.000000,0.000000
5,28,0.000000,0.000000,0.000000,0.000000
5,26,0.000000,0.000000,0.000000,0.000000
5,24,0.000000,0.000000,0.000000,0.000000
5,22,0.000000,0.000000,0.000000,0.000000
5,20,0.000000,0.000000,0.000000,0.000000
5,18,0.000000,0.000000,0.000000,0.000000
5,16,0.000000,0.000000,0.000000,0.000000
5,14,0.000000,0.000000,0.000000,0.000000
5,12,0.000000,0.000000,0.000000,0.000000
5,10,0.000000,0.000000,0.000000,0.000000
5,8,0.000000,0.000000,0.000000,0.000000
5,6,0.000000,0.000000,0.000000,0.000000
5,4,0.000000,0.000000,0.000000,0.000000
5,2,0.000000,0.000000,0.000000,0.000000
10,-1,0.000000,0.000000,0.000000,0.000000
10,1000,0.000000,0.000000,0.000000,0.000000
10,100,0.000000,0.000000,0.000000,0.000000
10,90,0.000000,0.000000,0.000000,0.000000
10,80,0.000000,0.000000,0.000000,0.000000
10,70,0.000000,0.000000,0.000000,0.000000
10,60,0.000000,0.000000,0.000000,0.000000
10,50,0.000001,0.000000,0.000000,0.000000
10,40,0.000000,0.000000,0.000000,0.000000
10,30,0.000000,0.000000,0.000000,0.000000
10,28,0.000000,0.000000,0.000000,0.000000
10,26,0.000000,0.000000,0.000000,0.000000
10,24,0.000000,0.000000,0.000000,0.000000
